,Country,Region,Year,Water Source Type,Water Treatment Method,"Cholera Cases per 100,000 people","Typhoid Cases per 100,000 people","Infant Mortality Rate (per 1,000 live births)",GDP per Capita (USD),Healthcare Access Index (0-100),Urbanization Rate (%),Sanitation Coverage (% of Population),Rainfall (mm per year),Temperature (°C),Population Density (people per km²)
2286,China,East,2008,River,Filtration,24,96,91.17,45832,14.15,13.64,38.03,593,20.01,851
2287,Mexico,East,2015,River,,9,35,96.8,47447,37.72,20.71,56.71,2642,22.15,186
2288,China,West,2012,Well,Boiling,42,44,59.0,96458,51.6,27.22,25.93,295,18.51,565
2289,China,East,2009,Well,Boiling,40,9,12.13,54928,53.74,57.81,58.43,284,17.78,491
2290,Ethiopia,South,2024,Lake,Filtration,16,62,58.19,51178,69.1,81.62,41.21,1259,7.47,503
2291,Nigeria,South,2019,Spring,,45,42,60.57,47800,5.26,35.99,41.35,615,20.18,495
2292,Nigeria,East,2013,Spring,Boiling,2,50,79.34,46749,56.14,87.1,94.96,794,16.85,724
2293,Bangladesh,East,2011,Lake,Chlorination,8,78,6.73,68192,25.5,23.83,75.22,2191,18.72,983
2294,Indonesia,South,2024,Lake,,17,2,47.7,76651,23.91,83.98,94.36,2922,0.55,512
2295,Ethiopia,East,2018,River,Filtration,48,65,92.43,3294,78.97,74.08,66.06,925,5.24,631
2296,Bangladesh,East,2006,Lake,Chlorination,29,34,99.15,97140,15.35,41.12,92.57,2123,30.53,943
2297,USA,West,2022,Well,,4,90,20.76,89246,32.91,26.5,86.99,420,16.76,714
2298,Indonesia,North,2014,Tap,Chlorination,31,68,87.32,48628,63.76,41.3,99.83,1542,29.72,858
2299,Indonesia,South,2015,Well,,26,78,16.33,69078,64.29,27.1,60.25,678,6.84,986
2300,Pakistan,West,2007,Lake,,20,35,84.44,89115,4.81,54.89,75.69,2639,27.93,649
2301,Pakistan,North,2009,Spring,Boiling,23,48,29.17,72928,7.26,55.99,32.85,2692,11.56,19
2302,India,East,2003,Well,Chlorination,37,96,96.04,4591,65.54,71.46,95.16,518,28.2,328
2303,India,East,2018,Spring,Chlorination,2,0,70.16,20118,95.32,52.23,51.9,1540,3.47,615
2304,China,West,2018,Well,Filtration,15,75,41.11,99239,99.85,37.61,93.33,492,13.35,499
2305,USA,East,2020,Spring,Filtration,14,41,29.54,32021,98.71,82.93,28.06,715,4.77,823
2306,Brazil,Central,2014,Pond,Chlorination,24,40,25.05,92069,35.16,16.24,61.22,1279,25.19,746
2307,Brazil,West,2013,Well,Boiling,7,72,68.72,35640,24.18,74.7,20.11,769,15.7,267
2308,Pakistan,North,2000,Spring,Boiling,40,56,89.79,10896,9.86,42.77,53.28,961,2.97,891
2309,Pakistan,West,2015,Tap,,3,19,75.98,32357,32.58,24.49,26.65,343,21.05,413
2310,Pakistan,South,2009,River,Filtration,31,93,83.81,98915,27.69,19.63,55.93,508,1.0,233
2311,Ethiopia,West,2018,Well,Filtration,44,13,78.58,36302,57.68,27.66,64.46,217,32.74,780
2312,Mexico,East,2021,Tap,Filtration,34,86,97.96,38842,36.88,19.76,88.18,1574,37.53,557
2313,India,East,2002,River,,29,92,76.26,71924,23.15,46.71,43.63,1389,32.4,270
2314,Ethiopia,Central,2004,Well,Boiling,38,98,22.6,75324,61.25,37.98,65.34,1767,38.06,285
2315,Nigeria,Central,2008,Tap,Filtration,47,51,79.58,57826,32.31,38.53,25.32,1335,35.88,780
2316,Brazil,Central,2017,Tap,,48,90,33.56,71085,35.36,22.55,93.08,2472,35.8,780
2317,Indonesia,North,2010,Pond,Chlorination,29,53,99.59,26372,59.84,62.78,56.14,1051,9.82,365
2318,India,Central,2015,Tap,Boiling,16,48,38.91,83377,11.82,58.62,40.21,2039,9.25,335
2319,Bangladesh,North,2001,Pond,Chlorination,18,90,30.69,21715,77.42,88.58,57.06,353,32.38,237
2320,Nigeria,Central,2011,Lake,Filtration,30,29,25.44,5468,96.54,23.41,58.52,309,19.66,609
2321,India,North,2021,Spring,,16,2,66.53,94698,49.08,76.72,79.46,537,37.69,905
2322,Ethiopia,West,2005,River,Boiling,1,11,12.7,41553,55.99,12.71,97.97,2164,35.89,312
2323,USA,West,2010,Spring,Filtration,36,30,95.45,19650,38.46,15.87,34.89,706,35.73,111
2324,Indonesia,East,2007,Spring,Boiling,47,36,30.84,1167,95.67,61.84,24.36,2420,13.04,302
2325,India,North,2011,Pond,,28,26,30.95,33782,13.29,42.52,72.46,2006,5.32,17
2326,Mexico,South,2001,Spring,,29,23,6.51,37557,81.35,28.44,90.77,998,27.12,623
2327,Pakistan,East,2008,Tap,Filtration,42,40,26.11,62873,65.04,10.22,65.2,2646,17.62,634
2328,Pakistan,West,2014,Pond,Boiling,21,63,43.06,93635,79.15,63.05,26.39,2349,37.36,217
2329,Indonesia,North,2001,Spring,,37,10,38.22,34079,95.05,45.27,53.74,1188,34.15,372
2330,Ethiopia,Central,2000,Pond,Boiling,10,90,28.76,48836,49.62,23.66,72.38,2225,37.15,906
2331,Pakistan,South,2009,Lake,Boiling,32,72,5.99,22591,28.83,87.78,46.24,1472,22.71,983
2332,India,West,2001,Pond,Chlorination,18,15,31.46,55501,77.95,38.07,87.59,684,21.05,54
2333,Bangladesh,East,2011,Well,Filtration,2,13,78.28,22956,84.46,34.24,37.98,2242,33.88,467
2334,Brazil,North,2022,Tap,Filtration,39,46,45.0,51172,68.63,50.83,49.16,2206,20.48,531
2335,Brazil,South,2007,River,Boiling,21,29,30.5,6249,84.9,32.18,93.31,373,36.0,351
2336,Nigeria,North,2004,Well,Chlorination,17,23,31.87,18362,73.03,31.82,65.88,2066,1.38,241
2337,China,Central,2021,Well,Boiling,44,12,56.33,48707,95.75,87.3,20.5,1581,14.35,754
2338,USA,East,2000,Well,Filtration,29,96,31.62,88238,57.07,30.89,39.52,1662,33.39,488
2339,Indonesia,North,2014,Spring,Filtration,0,8,63.82,26107,38.05,58.44,80.27,1253,8.4,973
2340,Nigeria,West,2005,Pond,Boiling,19,48,98.97,51790,68.05,13.0,24.16,2800,15.96,948
2341,China,East,2011,Pond,Boiling,48,25,6.04,62285,6.91,22.35,99.44,266,0.4,352
2342,Ethiopia,West,2007,Spring,Boiling,4,48,18.54,69105,49.84,11.77,91.83,687,12.07,178
2343,Mexico,North,2012,Tap,Filtration,11,41,19.55,50002,77.34,52.76,37.91,984,12.75,277
2344,Mexico,East,2018,Spring,Boiling,10,44,45.81,19189,16.9,49.33,91.64,1761,29.3,758
2345,USA,West,2000,Spring,Boiling,23,76,6.06,89628,40.04,36.47,75.96,1341,27.09,273
2346,Pakistan,Central,2010,Spring,,17,20,48.8,89290,35.03,66.02,54.03,920,17.8,901
2347,India,Central,2019,Tap,Filtration,7,28,93.03,54443,33.5,60.06,35.69,1580,29.14,310
2348,Nigeria,North,2000,Tap,Boiling,28,91,3.13,34532,65.06,58.03,36.02,447,17.13,609
2349,Nigeria,East,2007,Lake,Chlorination,21,23,37.76,63581,49.75,36.9,67.53,2183,17.38,906
2350,Indonesia,South,2004,Lake,Filtration,44,76,76.57,56040,79.73,36.17,53.28,1830,25.82,675
2351,Indonesia,East,2016,Lake,Boiling,1,41,17.14,7234,5.78,79.88,67.62,2706,28.92,351
2352,Mexico,Central,2007,Lake,Boiling,22,83,9.6,31132,45.39,53.52,46.42,925,33.88,116
2353,Mexico,West,2024,Pond,,15,70,63.82,86326,1.4,31.78,38.41,2623,30.06,738
2354,Bangladesh,South,2009,Well,,43,40,2.98,80675,22.09,53.46,86.92,1093,26.81,168
2355,Bangladesh,North,2001,Well,Filtration,7,47,80.57,47114,77.54,31.34,93.6,2727,22.46,833
2356,Pakistan,South,2008,Lake,,3,78,8.55,53085,10.61,24.82,76.42,2891,12.32,363
2357,Bangladesh,North,2023,Lake,,13,88,53.39,10999,10.56,32.57,32.93,2349,10.44,558
2358,India,South,2022,River,Filtration,8,98,74.53,66701,40.14,60.31,27.38,2194,33.73,468
2359,India,North,2002,Well,Chlorination,10,76,25.72,80902,77.69,51.27,63.13,256,28.69,909
2360,Nigeria,North,2017,River,Boiling,47,42,12.15,69693,63.8,23.16,64.03,630,26.62,81
2361,Brazil,South,2006,River,Boiling,37,7,19.21,48841,78.18,82.63,71.14,2711,10.35,642
2362,India,South,2014,Spring,,43,84,85.76,86568,4.95,49.86,92.49,361,38.79,181
2363,China,North,2020,Pond,Boiling,15,62,71.17,62841,56.37,73.5,71.74,2164,3.25,236
2364,Mexico,Central,2021,Tap,,12,62,21.41,79988,45.33,36.46,93.29,2279,33.53,738
2365,Indonesia,South,2019,Well,Filtration,35,5,72.18,30686,89.6,86.6,29.42,1395,8.43,616
2366,Bangladesh,East,2017,Lake,Filtration,43,73,71.44,72939,73.73,70.17,76.74,1205,15.69,186
2367,Nigeria,West,2024,Lake,Filtration,35,51,99.78,51194,42.43,46.36,94.2,2344,17.12,608
2368,USA,North,2002,Tap,Boiling,16,20,40.37,16715,55.38,82.18,57.02,338,26.51,945
2369,Indonesia,North,2022,Well,,13,13,86.76,93462,42.48,67.4,97.4,2539,21.87,111
2370,China,West,2013,Lake,,28,57,45.75,99521,44.11,44.44,64.2,340,7.44,333
2371,Bangladesh,Central,2023,Lake,Boiling,16,96,89.98,3420,63.41,87.93,95.44,1536,1.2,365
2372,China,West,2001,Spring,Filtration,0,24,10.98,33922,21.65,33.88,79.88,1888,28.69,976
2373,Mexico,South,2013,River,Chlorination,19,55,19.18,91743,33.32,30.53,56.62,397,20.2,136
2374,Mexico,West,2021,Lake,,32,82,85.3,6828,27.92,81.57,22.74,1644,14.47,403
2375,Pakistan,North,2010,Pond,,1,8,82.29,59619,80.08,66.59,72.59,2081,11.38,591
2376,Nigeria,West,2015,Well,Boiling,16,99,31.93,28298,94.19,37.64,40.34,2379,32.92,744
2377,Indonesia,East,2007,Pond,Chlorination,22,35,60.49,37079,41.43,28.54,43.09,2612,31.82,269
2378,Ethiopia,South,2006,Tap,Filtration,21,56,39.5,64746,7.71,24.24,21.58,737,33.04,286
2379,Ethiopia,West,2010,Spring,,0,78,3.01,98672,9.36,35.08,64.61,1492,8.76,819
2380,Indonesia,North,2002,Well,Boiling,11,4,4.56,80473,39.96,20.04,43.14,2319,34.08,605
2381,USA,South,2016,Spring,Chlorination,12,80,7.32,61054,39.5,21.63,98.59,502,39.42,474
2382,Nigeria,North,2013,River,Boiling,13,93,60.22,49015,14.62,72.13,79.92,2628,23.97,381
2383,China,Central,2005,Lake,Chlorination,9,6,29.36,6611,80.71,15.1,48.6,2226,1.89,143
2384,USA,East,2007,Well,Boiling,11,5,16.11,11419,50.01,45.14,43.56,1393,28.09,264
2385,Brazil,Central,2021,Tap,Chlorination,21,78,94.23,83501,10.91,42.4,77.2,2534,21.52,532
2386,Indonesia,East,2004,River,,17,51,13.89,56426,9.87,86.82,40.34,367,28.48,731
2387,China,West,2007,River,Chlorination,38,73,68.05,78411,44.6,47.24,55.84,414,7.53,896
2388,Ethiopia,South,2001,Spring,Filtration,18,69,89.63,28117,11.68,22.87,32.83,1339,24.23,82
2389,India,West,2014,River,,29,54,18.06,71399,56.12,17.07,40.33,343,21.57,661
2390,Pakistan,East,2011,Well,Filtration,14,76,23.04,63030,38.5,68.6,27.87,2577,24.1,296
2391,Ethiopia,East,2016,Spring,,38,13,58.23,76569,91.97,21.82,54.17,2483,29.11,680
2392,Nigeria,East,2000,River,Chlorination,13,0,51.83,3701,41.89,85.04,94.14,2087,21.77,180
2393,Mexico,North,2014,Tap,,8,96,53.06,7498,61.44,54.74,28.07,668,12.87,707
2394,India,South,2013,Pond,Boiling,4,82,56.36,27163,81.14,42.14,54.99,2943,12.36,571
2395,Pakistan,West,2019,Well,Chlorination,32,72,95.09,38599,30.29,64.75,43.87,2212,27.8,256
2396,Pakistan,West,2021,Tap,Boiling,47,36,7.28,17174,51.19,25.91,49.04,1527,26.55,363
2397,Brazil,Central,2015,Tap,Boiling,4,48,76.52,7460,12.09,40.58,81.72,1716,16.88,729
2398,Brazil,East,2008,Spring,Boiling,23,11,24.79,39006,43.28,12.67,54.8,1943,14.14,50
2399,Bangladesh,East,2000,Lake,Boiling,7,4,38.62,69459,37.58,80.21,72.03,2817,24.81,121
2400,Ethiopia,East,2016,Spring,Filtration,18,69,10.75,77394,42.82,44.02,97.78,1167,12.49,725
2401,Ethiopia,West,2012,Well,Chlorination,11,10,45.67,3999,10.74,70.71,69.32,2134,38.53,890
2402,Ethiopia,Central,2020,Well,Boiling,7,52,80.81,25057,39.84,83.35,46.99,2396,23.86,470
2403,Bangladesh,North,2020,Spring,Filtration,7,54,11.68,46354,87.03,62.22,51.81,2823,23.68,941
2404,USA,South,2004,Lake,,37,73,29.01,90224,93.71,40.06,75.67,2716,5.45,214
2405,Pakistan,North,2009,Spring,Boiling,19,78,38.56,22452,24.17,59.56,75.55,334,24.39,693
2406,India,West,2005,Well,Boiling,28,49,12.18,83263,30.05,38.83,49.45,1019,11.8,648
2407,Nigeria,East,2023,Lake,Filtration,40,52,76.71,83333,0.96,55.39,77.96,218,18.07,75
2408,Pakistan,South,2018,Well,,33,54,79.12,21323,11.56,44.57,64.05,1092,21.53,378
2409,Brazil,West,2024,Lake,,17,91,83.92,88087,34.51,21.99,98.43,2845,19.12,792
2410,China,West,2012,Lake,Filtration,0,2,59.22,33201,68.51,72.41,92.65,2933,32.38,470
2411,Mexico,West,2000,Spring,Boiling,10,15,51.71,65936,29.22,49.71,85.91,2797,3.98,555
2412,Bangladesh,South,2019,Spring,Chlorination,46,44,27.73,90316,7.54,25.21,22.75,340,6.69,483
2413,Indonesia,South,2024,Spring,Filtration,43,80,66.21,20874,73.09,81.35,50.43,2209,6.28,719
2414,China,Central,2014,Lake,Chlorination,34,35,45.57,65041,46.68,78.26,65.86,1523,32.67,990
2415,Nigeria,Central,2013,Lake,Boiling,31,18,97.14,42436,51.92,54.71,61.73,605,4.73,53
2416,Ethiopia,North,2007,Well,Boiling,41,3,96.88,61170,32.6,87.63,81.09,699,38.86,774
2417,Brazil,South,2009,Tap,,15,58,90.71,27168,61.3,84.17,92.73,234,38.77,682
2418,Brazil,South,2008,Spring,Boiling,5,88,37.29,1700,89.08,81.76,82.97,1962,39.67,344
2419,Brazil,South,2016,Pond,,8,90,38.06,89809,55.38,20.66,37.62,855,39.19,364
2420,Ethiopia,Central,2008,Well,,39,11,85.56,18532,58.75,33.57,58.85,1652,5.96,357
2421,Indonesia,West,2002,Well,Boiling,21,62,73.46,66157,37.36,42.82,51.49,855,26.3,371
2422,Bangladesh,East,2010,River,,47,55,71.03,70406,8.26,76.55,81.3,2605,15.99,399
2423,China,Central,2011,Spring,Boiling,7,26,29.4,64888,42.85,79.7,91.61,223,29.27,494
2424,Ethiopia,South,2009,Well,,31,67,83.67,4315,92.46,70.12,42.95,633,16.24,639
2425,Nigeria,Central,2024,River,,25,23,58.78,37675,68.02,47.79,59.11,2462,15.33,817
2426,Bangladesh,North,2016,Pond,Boiling,17,80,45.79,48021,49.02,22.95,78.55,563,36.16,271
2427,Nigeria,South,2016,Pond,Chlorination,36,25,86.81,64748,62.09,12.82,24.0,2714,19.78,84
2428,Bangladesh,North,2024,Spring,Filtration,11,81,40.63,18236,55.85,65.94,97.05,1024,29.59,535
2429,Indonesia,South,2010,Lake,Boiling,37,21,66.08,87642,91.24,89.53,84.0,2483,26.0,990
2430,Mexico,Central,2021,River,,33,69,47.66,66723,22.38,37.64,63.42,1346,26.31,900
2431,Nigeria,West,2003,Lake,Filtration,3,18,60.09,27405,88.87,55.5,82.29,767,13.96,477
2432,Ethiopia,East,2006,Pond,Chlorination,15,33,5.97,14056,68.85,74.85,86.91,797,10.1,14
2433,Bangladesh,North,2020,Pond,Boiling,23,10,47.19,13944,12.77,24.92,59.51,2712,35.42,310
2434,Brazil,Central,2013,Tap,,13,87,56.54,50507,37.19,76.36,55.21,803,0.98,196
2435,Pakistan,West,2006,Tap,,16,44,50.29,48274,43.63,60.03,87.02,1556,6.92,210
2436,Brazil,Central,2023,Tap,Boiling,30,36,85.05,14603,8.29,55.59,88.77,1471,5.31,487
2437,USA,North,2007,Tap,,3,22,32.49,521,55.42,70.98,29.89,1560,37.98,499
2438,Mexico,East,2000,Well,Filtration,49,39,88.64,16473,25.94,29.28,92.63,2320,0.2,308
2439,Mexico,Central,2023,Tap,,43,42,41.54,40585,45.81,59.18,42.14,943,0.32,495
2440,Brazil,South,2021,Well,Filtration,33,3,70.06,18888,43.88,29.23,73.37,1929,9.07,958
2441,China,West,2003,Well,Filtration,37,81,10.5,7212,52.17,24.36,76.74,433,11.16,260
2442,Indonesia,Central,2011,Spring,Boiling,37,93,21.62,56465,84.62,59.87,42.38,1411,22.39,676
2443,Nigeria,West,2023,Well,,2,14,76.59,12644,78.08,31.54,44.33,1500,38.45,385
2444,Ethiopia,South,2002,Well,Filtration,7,22,3.21,28962,87.3,67.15,76.5,2666,18.6,206
2445,Mexico,East,2012,Tap,,11,11,96.92,34237,57.23,51.16,34.01,2200,11.55,78
2446,Brazil,East,2019,Well,Filtration,34,67,20.68,69814,61.58,65.6,88.67,622,32.68,569
2447,Brazil,South,2005,Lake,Chlorination,1,67,90.33,31184,43.05,81.33,37.83,2272,15.43,258
2448,Indonesia,West,2010,Tap,Boiling,28,51,52.56,9036,71.72,21.06,48.09,1651,5.67,241
2449,Indonesia,Central,2022,River,Boiling,22,40,57.33,92341,20.49,15.34,41.33,1410,31.78,472
2450,India,South,2003,Tap,Boiling,32,77,10.24,90497,47.52,41.99,39.62,1966,0.1,632
2451,India,North,2019,Well,Filtration,49,58,37.79,3831,71.42,67.34,98.31,2602,8.2,338
2452,China,West,2015,Lake,Chlorination,17,57,17.31,70331,77.79,80.89,40.27,2359,25.41,888
2453,China,East,2006,Tap,Filtration,39,58,53.54,55800,24.79,12.78,66.27,2102,4.1,802
2454,USA,South,2021,Lake,Boiling,21,71,55.97,88863,18.15,73.44,79.63,840,10.23,145
2455,China,East,2010,River,Filtration,13,22,71.55,81998,28.85,16.03,23.36,1641,15.73,599
2456,Bangladesh,West,2023,Pond,Boiling,28,0,88.07,85727,92.02,56.45,90.53,776,15.86,752
2457,Indonesia,East,2000,River,,44,55,47.88,55518,12.91,37.53,32.23,225,38.91,776
2458,Ethiopia,South,2006,Pond,Filtration,14,74,24.87,81109,95.31,11.41,67.05,729,27.02,681
2459,Bangladesh,West,2011,Spring,,14,90,34.69,50191,99.48,17.77,71.29,1131,1.48,488
2460,Nigeria,North,2006,Pond,Filtration,44,3,85.01,54923,78.34,38.3,70.37,1989,8.85,70
2461,Brazil,South,2022,Spring,Boiling,3,28,16.29,48499,76.04,86.3,78.68,1139,24.66,96
2462,China,Central,2006,Tap,,35,16,63.47,10985,95.33,22.39,94.5,1775,28.54,522
2463,Brazil,South,2009,Spring,Filtration,4,48,3.28,13765,29.05,31.76,94.15,2837,15.22,632
2464,Mexico,West,2015,Lake,Boiling,2,82,26.08,67524,12.9,89.53,66.25,2065,34.26,168
2465,USA,South,2007,Spring,Filtration,11,50,59.96,33553,82.31,48.45,49.59,1510,37.74,976
2466,Mexico,North,2008,Lake,,19,48,46.73,6233,17.09,30.98,45.72,1665,24.56,408
2467,USA,North,2008,Pond,Filtration,43,23,50.37,56134,4.54,59.28,90.93,2411,22.5,755
2468,India,Central,2001,Pond,Filtration,19,43,66.74,50889,19.65,44.88,88.25,534,30.03,591
2469,Brazil,East,2012,Pond,,38,40,24.99,82532,43.79,78.66,43.67,2661,31.28,409
2470,USA,West,2012,Spring,Boiling,38,56,29.52,7426,49.51,10.64,32.19,1783,8.62,471
2471,Pakistan,West,2022,Pond,Filtration,0,55,69.08,44266,6.25,89.74,88.89,789,19.34,373
2472,Bangladesh,East,2022,Spring,Filtration,43,31,54.75,92111,44.34,15.3,68.67,2870,17.9,90
2473,USA,North,2003,Spring,Chlorination,2,30,3.43,2063,60.43,52.97,45.05,1566,37.66,723
2474,USA,North,2024,Well,Chlorination,46,15,67.69,81863,93.18,65.79,68.85,2530,4.47,102
2475,Bangladesh,South,2023,Well,Boiling,8,31,62.77,79927,22.73,53.99,25.3,2611,37.74,883
2476,Brazil,Central,2011,Spring,,19,41,9.7,25432,21.1,34.06,35.21,2501,22.9,81
2477,Brazil,Central,2016,Lake,Boiling,8,33,75.26,86974,38.94,78.43,63.66,1670,11.52,66
2478,Bangladesh,Central,2001,Tap,Boiling,30,98,53.17,74698,98.37,44.43,63.13,1121,34.77,532
2479,Mexico,South,2012,River,Boiling,45,36,22.07,85334,33.62,34.06,39.73,370,2.02,516
2480,Pakistan,Central,2017,Well,Filtration,27,15,56.82,16086,4.39,71.47,98.57,402,12.76,667
2481,Ethiopia,East,2014,Spring,Filtration,34,84,60.35,14526,26.56,21.67,52.99,2733,30.1,438
2482,Nigeria,South,2007,River,Boiling,39,12,92.17,35888,55.83,26.4,76.68,1864,33.11,669
2483,Pakistan,East,2014,Well,Boiling,37,81,74.73,11954,41.25,30.22,40.68,479,6.7,729
2484,Brazil,South,2000,Tap,Chlorination,43,65,31.59,75369,77.42,44.79,53.96,603,37.67,612
2485,Ethiopia,Central,2019,Lake,,1,32,13.58,37671,60.73,11.63,86.5,1231,2.15,608
2486,India,East,2009,Spring,Boiling,2,81,85.61,21543,55.95,89.34,87.89,997,17.34,407
2487,China,East,2011,Tap,Chlorination,13,91,84.91,17922,32.3,58.01,30.82,1605,3.9,469
2488,USA,East,2004,Well,Boiling,16,34,19.18,23451,55.18,87.66,48.37,2265,3.91,630
2489,Bangladesh,South,2008,Spring,,34,36,8.09,28943,61.56,74.6,36.25,2068,36.56,292
2490,Bangladesh,West,2022,River,Boiling,3,75,71.76,12242,17.92,20.74,91.22,1345,36.16,214
2491,USA,Central,2007,Pond,,46,39,72.81,30291,73.59,26.73,80.31,1349,24.61,985
2492,China,East,2015,Lake,Filtration,29,7,19.36,82474,39.29,12.76,65.06,2102,38.65,106
2493,Nigeria,West,2013,Well,,38,53,67.48,57765,74.23,76.7,72.01,1963,19.64,481
2494,China,Central,2024,Lake,Boiling,13,88,29.33,26377,17.77,57.48,93.13,794,31.31,469
2495,Ethiopia,Central,2012,Spring,Chlorination,47,6,27.54,40680,65.65,27.21,44.26,1620,3.89,274
2496,China,East,2022,Pond,Filtration,26,1,33.8,12603,2.69,87.61,21.09,688,15.82,278
2497,Ethiopia,East,2020,Tap,Chlorination,12,96,53.0,69503,15.9,68.94,22.11,2679,20.6,950
2498,China,South,2012,Lake,Boiling,19,55,80.84,1994,89.11,66.44,23.73,2435,31.13,273
2499,Nigeria,West,2004,River,Filtration,48,96,50.87,37401,46.15,31.36,30.28,1377,13.38,635
2500,Nigeria,West,2015,Well,Chlorination,48,56,31.21,69739,50.79,35.07,65.67,323,39.21,833
2501,Brazil,East,2010,River,Boiling,23,48,88.63,87285,90.76,63.44,98.49,2128,29.39,475
2502,USA,Central,2021,Lake,Chlorination,9,86,7.4,48767,48.49,57.48,53.59,806,21.32,740
2503,Nigeria,East,2004,Pond,,6,68,80.11,49834,65.46,61.78,76.99,321,13.23,754
2504,Ethiopia,Central,2012,Tap,,16,77,78.87,34504,22.2,80.31,83.37,1294,25.68,618
2505,Nigeria,Central,2010,Tap,Boiling,21,7,26.85,94833,8.16,22.83,84.11,1104,26.92,16
2506,Brazil,East,2024,River,Chlorination,43,83,21.43,12927,35.34,19.31,55.46,2351,27.17,598
2507,Bangladesh,North,2018,Spring,Boiling,10,62,87.72,42080,79.87,55.17,64.0,2913,23.45,137
2508,Ethiopia,West,2002,Spring,Chlorination,41,81,56.77,49106,44.68,50.01,46.3,872,16.02,408
2509,Brazil,Central,2014,Pond,Filtration,22,86,6.51,59388,16.82,42.23,75.03,1384,32.67,193
2510,Mexico,Central,2006,Tap,Boiling,21,92,89.3,96194,54.51,82.38,50.63,1088,10.33,625
2511,Mexico,North,2006,River,Boiling,39,70,36.2,66270,26.38,54.67,44.89,1915,25.02,93
2512,India,South,2005,River,Chlorination,46,87,35.53,572,94.67,55.38,70.18,1903,18.87,449
2513,China,North,2002,River,Boiling,17,45,65.04,95179,57.74,39.31,47.3,1277,35.71,814
2514,USA,North,2012,Lake,Filtration,44,88,66.81,22651,98.3,37.53,52.64,2699,23.62,585
2515,Indonesia,Central,2006,Pond,Chlorination,25,77,36.62,67825,4.31,89.01,76.87,2998,34.23,242
2516,Pakistan,West,2004,Spring,Chlorination,47,66,16.04,58471,1.16,59.85,88.27,2089,38.13,538
2517,Brazil,North,2022,Spring,Chlorination,29,45,56.12,37291,47.71,76.01,54.78,760,5.08,102
2518,Bangladesh,South,2017,Lake,Filtration,12,77,63.27,60510,86.2,45.8,61.78,2095,22.21,798
2519,Pakistan,East,2021,Well,Filtration,3,66,86.3,78040,52.44,25.35,79.71,2893,35.36,599
2520,Bangladesh,North,2007,Lake,Boiling,42,41,49.48,11031,87.62,35.99,38.0,1356,34.88,486
2521,Pakistan,North,2016,Pond,Chlorination,26,63,65.28,31848,13.06,37.69,53.2,1178,7.84,370
2522,Brazil,South,2019,River,Filtration,39,72,7.33,77587,69.93,55.19,84.92,345,19.25,120
2523,Indonesia,West,2000,Lake,,9,52,89.66,35528,65.99,22.37,91.56,1354,8.92,351
2524,Pakistan,North,2013,River,Boiling,43,70,34.07,37530,54.5,40.96,71.59,2761,35.87,317
2525,Brazil,North,2016,Pond,Filtration,27,89,63.96,32292,40.51,18.05,51.47,1288,0.13,426
2526,Nigeria,West,2009,Pond,Filtration,20,6,91.77,7888,64.71,49.72,68.47,2026,8.74,86
2527,Indonesia,South,2011,Tap,Filtration,10,6,81.43,56197,55.01,85.79,34.31,1035,16.36,755
2528,Ethiopia,North,2015,River,Boiling,19,35,64.49,40724,27.26,37.11,22.34,527,8.85,616
2529,Bangladesh,West,2013,Spring,Filtration,35,12,70.95,47459,10.46,13.98,25.97,2675,38.94,277
2530,Mexico,North,2015,Lake,Filtration,18,66,92.25,26044,38.66,58.7,28.65,2581,9.76,361
2531,China,East,2007,Pond,,9,19,81.59,41638,51.24,60.78,38.05,1521,14.49,55
2532,Mexico,Central,2022,River,,14,72,61.77,23198,50.85,48.37,56.94,825,6.96,335
2533,Indonesia,East,2009,Well,,44,52,66.55,68087,42.56,41.75,38.58,2644,37.07,468
2534,Ethiopia,North,2016,Tap,Filtration,44,85,16.43,86851,32.74,81.41,66.8,733,16.45,391
2535,Bangladesh,South,2017,Well,,17,51,48.08,58038,35.05,85.07,99.86,256,10.47,224
2536,Ethiopia,Central,2019,Pond,Chlorination,6,96,31.5,47547,26.58,63.85,59.85,893,9.84,848
2537,Pakistan,East,2015,Well,,29,60,44.33,77045,57.99,50.1,80.55,2703,23.42,450
2538,Bangladesh,West,2016,Well,,13,86,66.9,4128,84.99,15.4,43.39,317,39.11,797
2539,Pakistan,South,2015,Tap,Filtration,36,86,16.62,40902,87.97,34.08,97.03,1819,38.97,589
2540,Brazil,East,2018,Tap,Chlorination,40,89,3.7,42691,99.37,32.81,39.93,2803,39.27,350
2541,Indonesia,West,2023,Tap,,29,95,40.9,35227,8.88,14.66,67.73,764,15.47,309
2542,Brazil,North,2023,Tap,Filtration,26,60,33.57,34794,21.43,77.47,98.67,695,36.58,295
2543,India,West,2007,Well,Chlorination,48,55,43.2,24723,73.02,79.36,84.66,2085,17.78,418
2544,Ethiopia,East,2005,Spring,,36,91,93.26,28148,64.52,82.99,99.36,1000,20.42,808
2545,Pakistan,East,2005,Spring,Filtration,47,93,71.29,96740,13.39,69.34,50.38,1735,20.8,648
2546,Nigeria,North,2020,Tap,Chlorination,40,39,34.09,72965,63.1,66.84,26.21,840,2.54,395
2547,Brazil,West,2008,Lake,,16,80,19.57,64474,40.65,48.23,39.48,362,7.08,477
2548,India,West,2003,River,Chlorination,29,62,62.61,4019,95.69,78.59,96.61,450,35.44,503
